commit	full_hash	date	refs	family	subject	changed_file_count	change_statuses	changed_paths
8d7b582	8d7b582ee3295c7868df6f6c017ac668f035c8ae	2026-07-02T19:02:50-03:00	.	adversarial-roles-side-branches	Tune timed-release role probe for local CPU	10	A;M	docs/experiments.md;docs/timed_release_roles.md;experiments/timed_release_roles_8ants_shared_writes.json;notebooks/timed_release/roles.ipynb;src/ant_byte_env/training/jax_mappo/__init__.py;src/ant_byte_env/training/jax_mappo/timed_release/cli.py;src/ant_byte_env/training/jax_mappo/timed_release/runner.py;src/ant_byte_env/training/jax_mappo/transfer.py;tests/test_jax_timed_release_mappo.py;tests/test_train_mappo_jax.py
345b88a	345b88ad83920fd73efe0c099216e3e10f3b584e	2026-07-02T19:25:26-03:00	.	hundred-bridge-maze-stress	feat: add 100x100 bridge sweep launcher	1	A	scripts/run_100x100_bridge_sweep.py
483a22c	483a22cf27f4979fffe54921d2964661596905f5	2026-07-02T19:50:17-03:00	.	hundred-bridge-maze-stress	feat: add 100x100 continuation sweep	1	A	scripts/run_100x100_continuation_sweep.py
f0d80f1	f0d80f19214f6dc2add40f1e22e39b2b3cd4eb00	2026-07-02T20:20:26-03:00	.	hundred-bridge-maze-stress	feat: add 100x100 temperature eval grid	1	A	scripts/eval_100x100_temperature_grid.py
9665577	9665577c759d672b02471c420c3400263d19a035	2026-07-02T20:34:47-03:00	.	hundred-bridge-maze-stress	feat: add fixed 100x100 progress video uploader	1	A	scripts/run_100x100_progress_video_daemon.py
900fcc0	900fcc0f9100061ee94a00113211245dffcdc09d	2026-07-02T20:57:53-03:00	.	hundred-bridge-maze-stress	fix: make 100x100 progress videos resume reliably	1	M	scripts/run_100x100_progress_video_daemon.py
ea36bd1	ea36bd1c0d9c49f01b4a5ef602e0bec9b15690af	2026-07-02T21:38:00-03:00	.	hundred-bridge-maze-stress	fix: archive 100x100 progress videos in wandb	1	M	scripts/run_100x100_progress_video_daemon.py
00fa2e3	00fa2e3cc967d7b61694c201647f4bb7ab03deb8	2026-07-02T21:44:53-03:00	.	hundred-bridge-maze-stress	feat: make 100x100 sweeps target 120 ants	3	A;M	scripts/__init__.py;scripts/run_100x100_bridge_sweep.py;scripts/run_100x100_continuation_sweep.py
ed2d78e	ed2d78e726fde73d599297921600279d00f8066c	2026-07-02T21:59:19-03:00	.	hundred-bridge-maze-stress	fix: publish progress video site panel	1	M	scripts/run_100x100_progress_video_daemon.py
aea6e52	aea6e52180b03212a67134624d0664aec11e0c6e	2026-07-02T22:27:39-03:00	.	hundred-bridge-maze-stress	fix: collapse progress video logging to one wandb table	1	M	scripts/run_100x100_progress_video_daemon.py
c4851c7	c4851c7941ef0bffd53de2452d6ac6c56a501bfd	2026-07-02T22:29:22-03:00	.	hundred-bridge-maze-stress	feat: allow 100x100 continuation source override	1	M	scripts/run_100x100_continuation_sweep.py
c1a0741	c1a0741f5b687216f19a612d782f0b130e640043	2026-07-03T13:24:38-03:00	.	twofifty-frontier-reset	feat: add 250x250 truncation continuation config	1	A	experiments/half_scale_distance_250x250_reasonable_truncation_from_frontier.json
10b09d0	10b09d0a8421d846fd56895d50b3f003f3e9efd3	2026-07-03T14:56:14-03:00	.	twofifty-frontier-reset	feat: add d16 250x250 continuation config	1	A	experiments/half_scale_distance_250x250_d16_trunc4096_from_685best.json
935e654	935e6547961816a5266d787b5deed45c0f8add4c	2026-07-03T14:58:39-03:00	.	hundred-bridge-maze-stress	fix: flush progress video table each cycle	1	M	scripts/run_100x100_progress_video_daemon.py
f776de5	f776de5a916b6a203c70a8e5541716c2969d1c19	2026-07-03T15:23:08-03:00	.	twofifty-frontier-reset	feat: add soft 250x250 continuation config	1	A	experiments/half_scale_distance_250x250_soft_d8d16_trunc4096_from_685best.json
a203c2d	a203c2d4fbb9315b7048f07f3557605fe9e340c1	2026-07-03T15:44:28-03:00	.	bigmap-deployment-rendering	feat: add best policy bigmap state render	3	A;M	scripts/render_best_policy_bigmap_state_video.py;src/ant_byte_env/env.py;tests/test_env_api.py
4755061	4755061a5be96a8a406d02e459148d69355a487e	2026-07-03T16:19:03-03:00	.	bigmap-deployment-rendering	feat: support explicit bigmap render layouts	1	M	scripts/render_best_policy_bigmap_state_video.py
e0a80c9	e0a80c92172a71044c26211a23d5305eda9b3876	2026-07-03T16:38:26-03:00	.	bigmap-deployment-rendering	feat: allow bigmap render deployment overrides	1	M	scripts/render_best_policy_bigmap_state_video.py
5b27fd2	5b27fd26abc73332802b7bee065af0f6fbae380b	2026-07-03T17:41:06-03:00	main	bigmap-deployment-rendering	feat: add bigmap palette rerender helper	1	A	scripts/rerender_bigmap_palette_variants.py
